pr_number,total_comments
331,173
338,132
221,76
57,46
181,67
138,54
12,40
180,48
359,49
200,31
343,30
14,28
337,42
369,50
78,25
454,39
90,24
196,32
67,23
354,32
376,34
204,23
352,23
201,29
364,25
83,19
50,19
228,20
93,17
62,19
224,21
353,23
306,19
325,22
5,15
19,15
103,19
296,20
355,15
462,18
16,14
202,20
240,17
347,14
377,24
386,17
99,13
115,13
175,17
234,22
385,20
430,20
10,12
34,12
65,12
79,11
105,11
133,13
139,11
342,14
433,11
427,15
109,14
158,11
92,9
47,9
55,9
117,9
334,11
412,11
460,13
84,8
101,8
128,13
186,9
189,10
226,11
215,8
380,8
404,10
372,14
68,7
112,7
124,7
155,10
170,7
244,7
256,9
288,11
312,7
7,6
20,6
108,6
122,8
157,6
187,7
203,9
289,8
298,6
332,7
